ip,model,serial,issue,days_left,end_date,
10.224.27.31,Antminer_S21_XP,ONETFMUBDJIAB011X,P1,61,10/11/2025,B34S7
10.224.27.51,Antminer_S21_XP,ONETFMUBDJIAB00FK,P1,62,10/12/2025,B34S7
10.224.27.7,Antminer_S21_XP,ONETFMUBDJIAB02KD,P1,62,10/12/2025,B34S7
10.224.27.77,Antminer_S21_XP,ONETFMUBDJIAB019C,P1,61,10/11/2025,B34S7
10.224.27.98,Antminer_S21_XP,ONETFMUBDJIAB014B,P1,61,10/11/2025,B34S7
10.224.28.100,Antminer_S21_XP,ONETFMUBDJIAB01JX,P1,62,10/12/2025,B34S8
10.224.28.115,Antminer_S21_XP,ONETFMUBDJIAB021C,P1,62,10/12/2025,B34S8
10.224.28.134,Antminer_S21_XP,YNAHFMUBDJIJC03F4,P1,62,10/12/2025,B34S8
10.224.28.137,Antminer_S21_XP,ONETFMUBDJIAB01G8,P1,62,10/12/2025,B34S8
10.224.28.139,Antminer_S21_XP,YNAHFMUBDJIJC0366,P1,62,10/12/2025,B34S8
10.224.28.14,Antminer_S21_XP,ONETFMUBDJIAB00Y1,P1,62,10/12/2025,B34S8
10.224.28.142,Antminer_S21_XP,YNAHFMUBDJIJC03HR,P1,62,10/12/2025,B34S8
10.224.28.155,Antminer_S21_XP,ONETFMUBDJIAB02GD,P1,63,10/13/2025,B34S8
10.224.28.157,Antminer_S21_XP,YNAHFMUBDJIJC0417,P1,62,10/12/2025,B34S8
10.224.28.166,Antminer_S21_XP,ONETFMUBDJIAB01PG,P1,61,10/11/2025,B34S8
10.224.28.167,Antminer_S21_XP,YNAHFMUBDJIJC03GR,P1,62,10/12/2025,B34S8
10.224.28.2,Antminer_S21_XP,YNAHFMUBDJIJC02PX,P1,62,10/12/2025,B34S8
10.224.28.38,Antminer_S21_XP,ONETFMUBDJIAB02BD,P1,61,10/11/2025,B34S8
10.224.28.44,Antminer_S21_XP,YNAHFMUBDJIJC03DH,P1,62,10/12/2025,B34S8
10.224.28.69,Antminer_S21_XP,THQGFMUBDJHBC05J7,P1,63,10/13/2025,B34S8
10.224.28.93,Antminer_S21_XP,ONETFMUBDJIAB0248,P1,62,10/12/2025,B34S8
10.224.28.99,Antminer_S21_XP,ONETFMUBDJIAB02F2,P1,62,10/12/2025,B34S8
10.224.29.113,Antminer_S21_XP,ONETFMUBDJIAB011T,P1,61,10/11/2025,B34S8
10.224.29.130,Antminer_S21_XP,ONETFMUBDJIAB00WL,P1,62,10/12/2025,B34S8
10.224.29.131,Antminer_S21_XP,THQGFMUBDJHBC06YM,P1,63,10/13/2025,B34S8
10.224.29.138,Antminer_S21_XP,ONETFMUBDJIAB0206,P1,62,10/12/2025,B34S8
10.224.29.139,Antminer_S21_XP,ONETFMUBDJIAB01G3,P1,62,10/12/2025,B34S8
10.224.29.27,Antminer_S21_XP,ONETFMUBDJIAB012G,P1,61,10/11/2025,B34S8
10.224.29.31,Antminer_S21_XP,ONETFMUBDJIAB02GB,P1,61,10/11/2025,B34S8
10.224.29.5,Antminer_S21_XP,ONETFMUBDJIAB02CN,P1,61,10/11/2025,B34S8
10.224.29.63,Antminer_S21_XP,ONETFMUBDJIAB013M,P1,61,10/11/2025,B34S8
10.224.30.105,Antminer_S21_XP,PIEMFMUBDJHBH03AN,P1,48,9/28/2025,B34S8
10.224.30.108,Antminer_S21_XP,YNAHFMUBDJIJC04M3,P1,62,10/12/2025,B34S8
10.224.30.111,Antminer_S21_XP,YNAHFMUBDJIJC00ZJ,P1,50,9/30/2025,B34S8
10.224.30.119,Antminer_S21_XP,PIEMFMUBDJHBH06K5,P1,82,11/1/2025,B34S8
10.224.30.122,Antminer_S21_XP,PIEMFMUBDJHBH05VX,P1,82,11/1/2025,B34S8
10.224.30.126,Antminer_S21_XP,PIEMFMUBDJHBH01WD,P1,48,9/28/2025,B34S8
10.224.30.129,Antminer_S21_XP,PIEMFMUBDJHBH03S0,P1,48,9/28/2025,B34S8
10.224.30.132,Antminer_S21_XP,YNAHFMUBDJIJC021R,P1,49,9/29/2025,B34S8
10.224.30.136,Antminer_S21_XP,YNAHFMUBDJIJC02ZT,P1,62,10/12/2025,B34S8
10.224.30.141,Antminer_S21_XP,THQGFMUBDJHBC055X,P1,63,10/13/2025,B34S8
10.224.30.144,Antminer_S21_XP,THQGFMUBDJHBC05MM,P1,63,10/13/2025,B34S8
10.224.30.145,Antminer_S21_XP,ONETFMUBDJIAB02M5,P1,62,10/12/2025,B34S8
10.224.30.150,Antminer_S21_XP,ONETFMUBDJIAB00VD,P1,67,10/17/2025,B34S8
10.224.30.155,Antminer_S21_XP,YNAHFMUBDJIJC04W0,P1,62,10/12/2025,B34S8
10.224.30.163,Antminer_S21_XP,ONETFMUBDJIAB00CZ,P1,62,10/12/2025,B34S8
10.224.30.164,Antminer_S21_XP,THQGFMUBDJHBC040M,P1,63,10/13/2025,B34S8
10.224.30.174,Antminer_S21_XP,YNAHFMUBDJIJC0383,P1,62,10/12/2025,B34S8
10.224.30.192,Antminer_S21_XP,YNAHFMUBDJIJC050J,P1,62,10/12/2025,B34S8
10.224.30.211,Antminer_S21_XP,YNAHFMUBDJIJC04C5,P1,62,10/12/2025,B34S8
10.224.30.217,Antminer_S21_XP,THQGFMUBDJHBC05FL,P1,63,10/13/2025,B34S8
10.224.30.237,Antminer_S21_XP,THQGFMUBDJHBC0868,P1,63,10/13/2025,B34S8
10.224.30.239,Antminer_S21_XP,ONETFMUBDJIAB00K3,P1,62,10/12/2025,B34S8
10.224.30.249,Antminer_S21_XP,THQGFMUBDJIBG00PA,P1,63,10/13/2025,B34S8
10.224.30.251,Antminer_S21_XP,YNAHFMUBDJIJC038D,P1,62,10/12/2025,B34S8
10.224.30.254,Antminer_S21_XP,THQGFMUBDJIBG00GK,P1,63,10/13/2025,B34S8
10.224.30.55,Antminer_S21_XP,YNAHFMUBDJIJC0432,P1,62,10/12/2025,B34S8
10.224.30.81,Antminer_S21_XP,YNAHFMUBDJIJC011P,P1,50,9/30/2025,B34S8
10.224.30.98,Antminer_S21_XP,ONETFMUBDJIAB00W6,P1,67,10/17/2025,B34S8
10.224.31.10,Antminer_S21_XP,THQGFMUBDJHBC05S6,P1,63,10/13/2025,B34S8
10.224.31.100,Antminer_S21_XP,THQGFMUBDJHBC07A4,P1,63,10/13/2025,B34S8
10.224.31.114,Antminer_S21_XP,ONETFMUBDJIAB00M8,P1,62,10/12/2025,B34S8
10.224.31.145,Antminer_S21_XP,ONETFMUBDJIAB02M3,P1,62,10/12/2025,B34S8
10.224.31.148,Antminer_S21_XP,THQGFMUBDJHBC06RN,P1,63,10/13/2025,B34S8
10.224.31.27,Antminer_S21_XP,THQGFMUBDJHBC06XM,P1,63,10/13/2025,B34S8
10.224.31.30,Antminer_S21_XP,THQGFMUBDJHBC04NM,P1,63,10/13/2025,B34S8
10.224.31.59,Antminer_S21_XP,THQGFMUBDJHBC043L,P1,63,10/13/2025,B34S8
10.224.31.62,Antminer_S21_XP,THQGFMUBDJHBC043M,P1,63,10/13/2025,B34S8
10.224.4.99,Antminer_S21_XP,YNAHFMUBDJIJC03WN,P1,71,10/21/2025,B34S2
10.224.9.109,Antminer_S21_XP,THQGFMUBDJIBG066J,P1,85,11/4/2025,B34S3
10.225.22.5,Antminer_S21_XP,YNAHFMUBDJIJC024B,P1,84,11/3/2025,B35S6
10.225.24.153,Antminer_S21_XP,THQGFMUBDJIBG03TF,P1,81,10/31/2025,B35S7
10.225.24.181,Antminer_S21_XP,THQGFMUBDJIBG018T,P1,92,11/11/2025,B35S7
10.225.24.38,Antminer_S21_XP,THQGFMUBDJIBG018Z,P1,92,11/11/2025,B35S7
10.225.28.112,Antminer_S21_XP,PIEMFMUBDJHBH06W8,P1,86,11/5/2025,B35S8
10.225.28.120,Antminer_S21_XP,THQGFMUBDJIBG03NN,P1,81,10/31/2025,B35S8
10.225.28.121,Antminer_S21_XP,THQGFMUBDJIBG05C3,P1,85,11/4/2025,B35S8
10.225.28.45,Antminer_S21_XP,PIEMFMUBDJHBH05V5,P1,82,11/1/2025,B35S8
10.225.30.168,Antminer_S21_XP,THQGFMUBDJIBG01XA,P1,98,11/17/2025,B35S8
10.225.30.3,Antminer_S21_XP,THQGFMUBDJIBG01NW,P1,95,11/14/2025,B35S8
10.225.30.5,Antminer_S21_XP,THQGFMUBDJIBG04D3,P1,81,10/31/2025,B35S8
10.226.24.201,Antminer_S21_XP,THQGFMUBDJIBG0569,P1,84,11/3/2025,B36S7
10.226.24.208,Antminer_S21_XP,THQGFMUBDJIBG060V,P1,88,11/7/2025,B36S7
10.226.25.109,Antminer_S21_XP,THQGFMUBDJIBG03W8,P1,81,10/31/2025,B36S7
10.226.25.28,Antminer_S21_XP,THQGFMUBDJIBG02K3,P1,92,11/11/2025,B36S7
10.226.25.99,Antminer_S21_XP,THQGFMUBDJIBG04Z1,P1,87,11/6/2025,B36S7
10.226.26.153,Antminer_S21_XP,THQGFMUBDJIBG03RT,P1,81,10/31/2025,B36S7
